City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,fallon,39.4735,-118.7774,310.08,18,40,3.09,US,1722894908
293,vila franca do campo,37.7167,-25.4333,297.38,89,39,2.41,PT,1722894909
294,nagai,38.1036,140.035,297.29,98,62,0.65,JP,1722894910
295,mapimi,25.8167,-103.85,306.59,23,2,5.31,MX,1722894912
296,dwarka,22.2394,68.9678,300.71,87,100,9.53,IN,1722894913
297,meadow lake,34.8014,-106.5436,307.97,30,9,5.2,US,1722894914
298,kill devil hills,36.0307,-75.676,301.47,82,100,8.23,US,1722894915
299,kragero,58.8693,9.4149,290.07,72,100,2.68,NO,1722894916
300,tucuma,-0.1833,-50.05,300.54,74,4,4.87,BR,1722894917
301,tarawa,1.419,172.984,302.42,64,91,4.94,KI,1722894918
302,laguna,38.421,-121.4238,311.58,27,0,3.6,US,1722894919
303,prince rupert,54.3161,-130.3201,290.2,91,40,3.6,CA,1722894920
304,sittwe,20.15,92.9,298.94,90,100,3.85,MM,1722894923
305,port douglas,-16.4833,145.4667,294.21,74,8,1.68,AU,1722894924
306,port augusta,-32.5,137.7667,280.58,80,24,1.55,AU,1722894925
307,sungailiat,-1.85,106.1333,298.86,79,100,4.44,ID,1722894926
308,talnakh,69.4865,88.3972,281.64,69,38,1.38,RU,1722894927
309,nizhneudinsk,54.9076,99.0276,287.18,91,63,1.22,RU,1722894928
310,kuqa,41.7278,82.9364,301.44,31,99,2.18,CN,1722894929
311,belmonte,-15.8631,-38.8828,295.93,69,44,2.69,BR,1722894930
312,astrakhan,46.3497,48.0408,299.08,53,0,1.0,RU,1722894931
313,kovalam,8.3667,76.9967,299.2,83,75,2.06,IN,1722894932
314,utrik,11.2278,169.8474,301.26,81,97,6.67,MH,1722894933
315,arraial do cabo,-22.9661,-42.0278,297.07,78,0,7.72,BR,1722894934
316,pisco,-13.7,-76.2167,291.49,77,0,4.63,PE,1722894935
317,usinsk,65.9939,57.5281,280.5,73,48,5.88,RU,1722894937
318,kwaksan,39.6875,125.0828,296.88,97,93,2.12,KP,1722894938
319,ulsteinvik,62.3432,5.8487,290.55,91,100,0.45,NO,1722894940
320,pandan,14.0453,124.1694,300.43,84,100,5.57,PH,1722894941
321,barakani,-12.1356,44.4317,296.66,73,33,2.59,KM,1722894942
322,tselina,46.5338,41.0328,293.33,78,1,2.57,RU,1722894943
323,nargund,15.7167,75.3833,295.74,89,95,4.34,IN,1722894944
324,driefontein,-27.0177,30.4498,281.1,92,77,1.19,ZA,1722894945
325,morant bay,17.8815,-76.4093,305.94,76,29,4.37,JM,1722894946
326,okhotsk,59.3833,143.3,285.18,88,100,8.82,RU,1722894947
327,yeniseysk,58.4497,92.1703,288.1,98,32,0.64,RU,1722894948
328,cooper's town,26.8667,-77.5167,301.99,78,100,5.53,BS,1722894949
329,nantucket,41.2835,-70.0995,300.42,83,0,4.63,US,1722894950
330,gazli,40.1333,63.45,301.8,19,0,5.18,UZ,1722894951
331,kurmuk,10.55,34.2833,292.58,94,100,1.12,SD,1722894952
332,adrar,20.5022,-10.0711,309.85,20,13,5.21,MR,1722894953
333,bikenibeu village,1.3673,173.1241,302.25,64,84,5.05,KI,1722894954
334,iskateley,67.6803,53.1512,277.9,87,6,4.36,RU,1722894956
335,centerport,40.8854,-73.3762,303.4,62,0,5.66,US,1722894957
336,barranca,-10.75,-77.7667,290.86,78,15,5.9,PE,1722894958
337,kayangel,8.0823,134.7173,301.92,74,100,4.23,PW,1722894959
338,whitehorse,60.7161,-135.0538,298.76,32,20,4.63,CA,1722894960
339,bhimunipatnam,17.8833,83.4333,300.42,81,100,3.77,IN,1722894961
340,prado,-17.3411,-39.2208,295.24,76,0,2.67,BR,1722894963
341,akureyri,65.6835,-18.0878,284.11,87,100,4.12,IS,1722894964
342,benghazi,32.1167,20.0667,301.52,68,0,4.9,LY,1722894965
343,tual,-5.6667,132.75,298.39,85,81,8.97,ID,1722894966
344,kimbe,-5.5502,150.1429,299.52,82,100,1.91,PG,1722894967
345,erenhot,43.6475,111.9767,295.57,37,0,3.59,CN,1722894968
346,puerto deseado,-47.7503,-65.8938,277.55,76,100,6.93,AR,1722894969
347,turpan,42.9333,89.1667,308.97,17,43,0.83,CN,1722894970
348,limassol,34.675,33.0333,300.19,61,0,6.69,CY,1722894971
349,queenstown,-31.8976,26.8753,280.47,28,0,2.08,ZA,1722894972
350,whangarei,-35.7317,174.3239,285.73,73,10,1.92,NZ,1722894973
351,port blair,11.6667,92.75,300.17,89,75,1.03,IN,1722894975
352,norderney,53.7,7.15,292.05,77,1,0.89,DE,1722894976
353,karasu,41.071,30.7854,294.02,84,0,1.35,TR,1722894977
354,omoku,5.3435,6.6532,298.24,91,99,1.89,NG,1722894978
355,salina,38.8403,-97.6114,313.17,24,0,5.66,US,1722894753
356,shiguai,40.7058,110.2856,292.84,58,57,2.61,CN,1722894980
357,guatrache,-37.6678,-63.5302,285.19,53,98,4.21,AR,1722894981
358,nadi,-17.8,177.4167,296.15,60,20,2.57,FJ,1722894982
359,arenapolis,-14.4503,-56.8461,300.66,24,0,2.44,BR,1722894983
360,sheridan,44.8333,-106.9173,306.1,33,0,4.63,US,1722894961
361,chulym,55.0997,80.9572,287.55,92,76,2.93,RU,1722894985
362,novyy urgal,51.0736,132.5642,292.78,94,100,1.79,RU,1722894986
363,lagoa,39.05,-27.9833,296.96,85,23,6.23,PT,1722894987
